Drug_Query	Drug_Found	Target_Name	Target_Type	Target_UniProt	Target_Species	Database	Reference	Assay_Type	Assay_Relation	Assay_Value	EvidenceLevel_Assigned
Crizotinib	Crizotinib	PRKACA	Protein	P17612	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	CDK19	Protein	Q9BWU1	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	ANKK1	Protein	Q8NFD2	Homo sapiens	BindingDB	22037378	KD	=	 780	III
Crizotinib	Crizotinib	STK25	Protein	O00506	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	HIPK3	Protein	Q9H422	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	PRKAA2	Protein	P54646	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	ADCK4	Protein	Q96D53	Homo sapiens	BindingDB	22037378	KD	=	 1100	III
Crizotinib	Crizotinib	NEK3	Protein	P51956	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	ADCK3	Protein	Q8NI60	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	MAP3K19	Protein	Q56UN5	Homo sapiens	BindingDB	22037378	KD	=	 980	III
Crizotinib	Crizotinib	PDPK1	Protein	O15530	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	MAP2K1	Protein	Q02750	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	NEK4	Protein	P51957	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	TRPM6	Protein	Q9BX84	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	AKT2	Protein	P31751	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	AKT2	Protein	P31751	Homo sapiens	BindingDB	18077425	IC50	>	10000	III
Crizotinib	Crizotinib	PIM3	Protein	Q86V86	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	TYK2	Protein	P29597	Homo sapiens	BindingDB	22037378	KD	=	 210	III
Crizotinib	Crizotinib	TYK2	Protein	P29597	Homo sapiens	BindingDB	22037378	KD	=	 2000	III
Crizotinib	Crizotinib	MARK4	Protein	Q96L34	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	EGFR	Protein	P00533	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	EGFR	Protein	P00533	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	EGFR	Protein	P00533	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	EGFR	Protein	P00533	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	EGFR	Protein	P00533	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	EGFR	Protein	P00533	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	EGFR	Protein	P00533	Homo sapiens	BindingDB	22037378	KD	=	 2700	III
Crizotinib	Crizotinib	EGFR	Protein	P00533	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	EGFR	Protein	P00533	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	IC50	>	12500	III
Crizotinib	Crizotinib	EGFR	Protein	P00533	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	EGFR	Protein	P00533	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	EGFR	Protein	P00533	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	EGFR	Protein	P00533	Homo sapiens	BindingDB	22037378	KD	=	 2700	III
Crizotinib	Crizotinib	LATS1	Protein	O95835	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	GAK	Protein	O14976	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	STK38	Protein	Q15208	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	TAOK2	Protein	Q9UL54	Homo sapiens	BindingDB	22037378	KD	=	 900	III
Crizotinib	Crizotinib	STK17A	Protein	Q9UEE5	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	EIF2AK2	Protein	P19525	Homo sapiens	BindingDB	22037378	KD	=	 1100	III
Crizotinib	Crizotinib	PIM2	Protein	Q9P1W9	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	GSK3A	Protein	P49840	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	DCLK2	Protein	Q8N568	Homo sapiens	BindingDB	22037378	KD	=	 370	III
Crizotinib	Crizotinib	PTK6	Protein	Q13882	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	MINK1	Protein	Q8N4C8	Homo sapiens	BindingDB	22037378	KD	=	 4400	III
Crizotinib	Crizotinib	CDK5	Protein	Q00535	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	CLK3	Protein	P49761	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	CLK2	Protein	P49760	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	TGFBR1	Protein	P36897	Homo sapiens	BindingDB	22037378	KD	=	 1000	III
Crizotinib	Crizotinib	PAK6	Protein	Q9NQU5	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	MAK	Protein	P20794	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	CDK8	Protein	P49336	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Crizotinib	Crizotinib	ITK	Protein	Q08881	Homo sapiens	BindingDB	22037378	KD	=	 2000	III
Crizotinib	Crizotinib	FLT3	Protein	P36888	Homo sapiens	BindingDB	22037378	KD	=	 860	III
Crizotinib	Crizotinib	FLT3	Protein	P36888	Homo sapiens	BindingDB	22037378	KD	=	 3000	III
Crizotinib	Crizotinib	FLT3	Protein	P36888	Homo sapiens	BindingDB	22037378	KD	=	 500	III
Crizotinib	Crizotinib	FLT3	Protein	P36888	Homo sapiens	BindingDB	22037378	KD	=	 850	III
Crizotinib	Crizotinib	FLT3	Protein	P36888	Homo sapiens	BindingDB	22037378	KD	=	 210	III
Crizotinib	Crizotinib	FLT3	Protein	P36888	Homo sapiens	BindingDB	22037378	KD	=	 900	III
Crizotinib	Crizotinib	FLT3	Protein	P36888	Homo sapiens	BindingDB	22037378	KD	=	 730	III
Crizotinib	Crizotinib	PIP5K1A	Protein	Q99755	Homo sapiens	BindingDB	22037378	KD	=	 3200	III
Crizotinib	Crizotinib	TAOK1	Protein	Q7L7X3	Homo sapiens	BindingDB	22037378	KD	=	 1200	III
Crizotinib	Crizotinib	CSF1R	Protein	P07333	Homo sapiens	BindingDB	18077425	IC50	>	10000	III
Crizotinib	Crizotinib	CSF1R	Protein	P07333	Homo sapiens	BindingDB	22037378	KD	=	 210	III
Crizotinib	Crizotinib	HIPK2	Protein	Q9H2X6	Homo sapiens	BindingDB	22037378	KD	>	10000	III
